verb | anticipate | anticipar
adje | impatient | impaciente
adje | inappropriate | inapropiado
adje | inexperienced | inexperto
adje | irregular | irregular
adje | irresponsible | irresponsable
noun | need | necesidad
noun | proposal | propuesta
verb | prove | probar
noun | rocket | cohete
adje | scientific | científico
adje | significant | importante, significativo
noun | solution | solución
noun | space | espacio
verb | sponsor | patrocinar
noun | technology | tecnología
noun | willingness | disposición, inclinación, voluntad
adje | aggressive | agresivo
verb | blush | ruborizarse, sonrojarse
adje | bossy | mandón
noun | characteristic | característica
adje | cheerful | feliz, animado, alegre
adje | competitive | competitivo
adje | demanding | exigente
verb | discourage | desanimar, disuadir, desalentar
adje | identical | idéntico, idénticos
noun | identity | identidad
adje | impatient | impaciente
adje | jealous | celoso
adje | lazy | vago
adje | loyal | fiel
noun | only child | hijo único, hija única
adje | optimistic | optimista
verb | resemble | parecerse
noun | similarity | similitud
adje | stubborn | tozudo
expr | take account of | tener en cuenta
ph-v | take after (sb) | parecerse, ser parecido (a un miembro de la familia)
expr | take charge | hacerse cargo
expr | take for granted | dar por hecho
ph-v | take off (success) | despegar, tener éxito rápidamente
ph-v | take out (sth), take (sth) out | sacar, extraer
expr | take (sb/sth) seriously | tomar en serio, tomarse en serio
expr | take turns | hacer turnos
noun | twin | gemelo
adje | unpopular | impopular
adje | unreliable | poco fiable
adje | witty | ingenioso
noun | appliance | electrodoméstico
noun | attic | ático
noun | cart | carrito
expr | come to a conclusion | llegar a una conclusión
expr | come to a decision | tomar una decisión
noun | crockery | vajilla
adje | crunchy | crujiente
noun | cutlery | cubertería, cubiertos
verb | devise | inventar, idear
verb | duplicate | duplicar, volver a hacer
expr | fall asleep | dormirse
expr | fall ill | ponerse enfermo
expr | fall in love | enamorarse de, enamorarse
adje | fed up | harto, cansado
verb | fulfil (satisfy) | cumplir, satisfacer
noun | groceries | provisiones
noun | infection | infección
noun | inventor | inventor
verb | research | investigar
noun | ritual | ritual
adje | soggy | empapado
adje | stale | rancio, duro, seco (el pan por ejemplo)
verb | stick | pegar (con pegamento)
noun | substance | sustancia
noun | suspicion | sospecha
ph-v | talk (sb) into (doing sth) | persuadir, convencer
ph-v | tell (sb/sth) apart | distinguir
expr | tell a lie | mentir, decir una mentira
expr | tell a story | contar una historia
verb | transform | transformar
verb | accuse | acusar
verb | affect | influir, afectar
noun | ambition | ambición
verb | apologise, apologize | disculparse
verb | claim | afirmar, asegurar
verb | deny | negar
verb | educate | educar
adje | educated | educado, culto
adje | educational | educativo
ph-v | face up to | hacer frente a, encarar a, enfrentar a, confortar a
verb | feel (opinion) | pensar, opinar
verb | insist | insistir
verb | mention | mencionar
noun | opportunity | oportunidad
noun | performance (success) | rendimiento
noun | position (job) | trabajo, puesto
noun | progress | progreso
verb | promise | prometer
noun | qualification | diploma
verb | refuse, reject | rechazar
adje | relevant | relevante
noun | standard | estándar
verb | urge | urgir, instar
verb | warn | advertir
verb | wish | desear
adje | adventurous | aventurero
adve | above all | sobre todo
adve | all along | desde el principio
adve | all in all | en resumidas cuentas, en definitiva, después de todo
adve | all of a sudden | de repente
adve | at all | en absoluto
noun | career | carrera, profesión
noun | commitment | compromiso
adje | concerned | preocupado
adje | dishonest | deshonesto
adje | disorganised | desorganizado
adje | dissatisfied | descontento, insatisfecho
noun | employer | empleador, empresa, compañía
noun | enthusiasm | entusiasmo
adje | enthusiastic | entusiasta
adje | flexible | flexible
adje | inexperienced | sin experiencia
adje | irresponsible | irresponsable
adje | redundant | en paro
noun | responsibility | responsabilidad
adje | responsible | responsable
noun | routine | rutina
adje | secure | seguro
adje | self-confident | seguro de sí mismo
noun | support | apoyo
adje | uncertain | incierto
noun | unemployment benefit | prestación por desempleo
adje | unsuccessful | fallido, fracasado
adje | accessible | accessible
noun | bar | bar
noun | canal | canal (water)
noun | clap (thunder) | trueno
ph-v | consist of (sth) | consistir en
noun | dam | presa
adje | economical | económico
noun | environment | medio ambiente
noun | flash | destello, fogonazo
noun | flood | inundación
noun | fossil fuel | combustible fósil
noun | lake | lago
noun | lightning | rayo
noun | litter | basura
noun | pane | vidriera
noun | pond | laguna
noun | rapids (river) | rápidos (río)
verb | recycle | reciclar
noun | reservoir | embalse, presa, depósito
noun | river | río
noun | route | ruta, itinerario
noun | rubbish | basura
adje | second-hand | de segunda mano
noun | slice | rebanada, trozo
noun | storm | tormenta
noun | stream | arroyo
verb | tackle | enfrentarse a, enfrentar, enfrentarse, afrontar
noun | traffic | tráfico
noun | vegetation | vegetación
noun | waterfall | cascada
adje | appealing | atractivo, interesante
noun | appetite | apetito
adje | bitter | amargo
adje | canned | en conserva, enlatado, en lata
verb | consume | consumir
noun | consumer | consumidor
adje | dairy | lácteo
noun | finding | descubrimiento, hallazgo
adje | fizzy | gaseoso
adje | flat (drink) | sin gas
noun | flavour | sabor, gusto
verb | grill | cocinar a la parrilla
verb | influence | influir
adje | juicy | jugoso
verb | melt | fundir, derretir
adje | mild | suave
noun | packaging | embalaje, empaquetado
verb | reject | rechazar
adje | rich (food) | fuerte, pesado (comida)
adje | ripe | maduro
adje | rotten | podrido
noun | sense | sentido
noun | amount | cantidad
noun | challenge | reto, desafío
noun | collector (person) | coleccionista
noun | collection | colección
noun | condition | estado, condición
adje | delightful | encantador
adje | elegant | elegante
adje | exceptional | excepcional
noun | the former | el primero (en referencia a algo mencionado previamente)
noun | the latter | el último (en referencia a algo mencionado previamente)
ph-v | look after (sb/sth) | ocuparse de, cuidar
ph-v | look at (sth) | examinar, mirar
ph-v | look for (sb/sth) | buscar (ir tras alguna cosa o tras alguien)
ph-v | look into (sth) | estudiar, investigar, evaluar
expr | the look of | aspecto, apariencia, pinta
expr | look out! | cuidado!, cuidado
adje | massive | enorme
noun | memory | memoria
noun | obsession | obsesión
noun | passion (for sth) | pasión (por algo)
adje | remarkable | notable
noun | scale | escala
adje | substantial | grande, considerable, sustancial, abundante
noun | technique | técnica
adje | vast | vasto, amplio
noun | alternative | alternativa
noun | biography | biografía
ph-v | calm (sb/sth) down | calmar, tranquilizar
ph-v | come across (sth) | encontrarse con, toparse con
ph-v | come out (book) | salir, publicarse
ph-v | come up with (sth) | sugerir, inventarse
verb | cope | salir adelante, superar
noun | documentary | documental
adje | doubtful | dudoso, poco convencido
adje | effective | eficaz, efectivo
noun | extract | extracto (de un texto)
noun | form (type) | forma
ph-v | go ahead | empezar
ph-v | go by (time) | pasar
ph-v | go off (sb/sth) (love) | perder el gusto por, desenamorarse, dejar de gustar algo
ph-v | go through | pasar, sufrir (una dificultad)
ph-v | go up | subir
adje | irritated | enfadado, irritado
verb | nod | saludar con la cabeza, asentir
adje | relieved | aliviado
noun | science fiction | ciencia ficción
noun | strength | fuerza
adje | technological | tecnológico
noun | threat | amenaza
noun | thriller | thriller, de suspense
adje | visual | visual
noun | alternative | alternativa
noun | biography | biografía
ph-v | come across (sth) | encontrarse con, toparse con
ph-v | come out (book) | salir, publicarse
ph-v | come up with (sth) | sugerir, inventarse
verb | cope | salir adelante, superar
noun | documentary | documental
adje | doubtful | dudoso, poco convencido
adje | effective | eficaz, efectivo
noun | extract | extracto (de un texto)
noun | form (type) | forma
ph-v | go ahead | empezar
ph-v | go by (time) | pasar
ph-v | go off (sb/sth) (love) | perder el gusto por, desenamorarse, dejar de gustar algo
ph-v | go through | pasar, sufrir (una dificultad)
ph-v | go up | subir
adje | irritated | enfadado
verb | nod | saludar con la cabeza, asentir
adje | relieved | aliviado
noun | science fiction | ciencia ficción
noun | strength | fuerza
adje | technological | tecnológico
noun | threat | amenaza
noun | thriller | thriller, de suspense
adje | visual | visual
noun | ankle | tobillo
noun | bandage | venda
verb | break (not work) | estropear, romper
noun | break | fractura
ph-v | break down | averiarse
noun | bug (illness) | virus, bacteria
verb | burn | quemar
noun | chest | pecho, torso
noun | cough medicine | medicina para la tos
noun | Elastoplast, elastoplast | esparadrapo
noun | elbow | codo
noun | exercise | ejercicio
verb | exercise | hacer ejercicio
noun | eyebrow | ceja
verb | faint | desmayarse
verb | graze | hacerse un rasguño, raspar, rasparse, rasguñar, rasguñarse (la piel)
verb | hurt | doler
noun | jaw | mandíbula
noun | knee | rodilla
noun | needle | aguja
expr | on average | de media, en promedio
expr | on balance | teniéndolo todo en cuenta, en general, en conjunto
expr | on behalf of | en nombre de
expr | on condition that | a condición de que, siempre que
expr | on duty | de guardia
expr | on offer | rebajado, en oferta
expr | on purpose | a propósito
noun | plaster | tirita
noun | scar | cicatriz
noun | spot (skin) | grano
verb | sprain | torcerse, esguinzarse
verb | sting | picar (un insecto)
noun | stitch | punto de sutura
noun | surgery | cirugía
noun | sweat | sudor
noun | symptom | síntoma
noun | thigh | muslo
noun | waist | cintura
noun | ward | sala (en un hospital)
noun | wrist | muñeca
verb | accuse | acusar
verb | arrest | arrestar
noun | burglar | ladrón
noun | cell (room) | celda (de prisión)
verb | charge (accuse) | acusar
expr | commit a crime | cometer un delito, cometer un crimen
noun | court | tribunal
noun | criminal | criminal, delincuente
noun | detective | detective, inspector de policía
noun | DNA | ADN
noun | evidence | prueba, evidencia
verb | fine | multar
noun | fine | multa
noun | fingerprint | huella digital, huella dactilar
adje | forensic | forense
adje | guilty | culpable
adje | illegal | ilegal
adje | innocent | inocente
noun | jury | jurado
verb | kidnap | secuestrar
noun | offence | infracción, delito, incumplimiento, crimen
noun | penalty | sanción, castigo
noun | pickpocket | carterista, ladrón
noun | proof | prueba
noun | punishment | castigo
noun | robbery | robo
verb | sentence | sentenciar
verb | shoplift | robar (de una tienda)
verb | steal | robar
noun | suspect | sospechoso (persona)
adje | suspicious | sospechoso
expr | take (sb) to court | demandar a alguien, llevar a alguien a los tribunales, llevar a alguien a juicio, demandar
noun | thief | ladrón
verb | trace | rastrear, seguir la pista
noun | trial (law) | juicio
noun | absence | ausencia
noun | architecture | arquitectura
noun | collection (taking away) | recogida
noun | community | comunidad
noun | consumer | consumidor
noun | cut | corte (de la electricidad)
adje | environmental | ambiental
noun | lack | falta
noun | level | nivel
noun | lifestyle | modo de vida, estilo de vida
noun | lighting | iluminación
noun | maintenance | mantenimiento
noun | mall | centro comercial
noun | neighbourhood | barrio, vecindario
noun | pollution | contaminación
noun | property | propiedad
noun | regulation | reglamento, regulación
verb | renew | renovar
noun | renewal | renovación
noun | requirement | requerimiento
noun | resident | residente
noun | shortage | escasez
noun | suburb | suburbio
adje | suburban | suburbano
noun | system | sistema
noun | traffic jam | atasco de tráfico
adje | urban | urbano
noun | audience | público, audiencia
noun | choir | coro
noun | composer | compositor
noun | composition (music) | composición, obra
noun | conductor | director de orquesta
noun | festival | festival
noun | gig | actuación
noun | impression | impresión
adje | memorable | memorable
noun | musician | músico
noun | orchestra | orquesta
adje | orchestral | orquestal
noun | organiser, organizer | organizador
verb | participate | participar
noun | partnership | colaboración, asociación
verb | perform | interpretar, actuar
noun | performer | artista, intérprete
noun | rehearsal | ensayo
noun | solo (music) | solo
verb | specialise, specialize | especializarse
noun | venue | lugar, sitio (donde se celebra un evento)
adje | unique | único
noun | ash | ceniza
ph-v | break off (sth), break (sth) off | acabar, suspender, poner fin, terminar
ph-v | call off (sth), call (sth) off | anular, cancelar, suspender
noun | crack | grieta
ph-v | cut (sb/sth) off, cut off (sb/sth) | aislar, distanciarse de
verb | damage | dañar
adje | damp | húmedo
noun | drought | sequía
noun | earthquake | terremoto
noun | eruption | erupción
noun | gas | gas
adje | humid | húmedo
noun | hurricane | huracán
verb | injure | dañar, herir, lesionar
adje | invaluable | precioso, inestimable, de mucho valor, que no tiene precio
ph-v | let off (sb), let (sb) off | perdonar, no castigar
ph-v | log off | cerrar sesión, finalizar sesión
noun | peak | cima
noun | planet | planeta
verb | preserve | mantener, preservar
adje | priceless | inestimable, invaluable
ph-v | send off (sth), send (sth) off | enviar
adje | sensitive | sensible
verb | shake (vibrate) | temblar, tiritar, agitar
ph-v | tell off (sb), tell (sb) off | regañar, echar bronca
noun | thunder | trueno
verb | tremble | temblar
verb | undo | deshacer, desabrochar
verb | unfasten | desabrochar, deshacer, desatar, desmarrar
verb | untie | desatar
verb | unwrap | abrir, desenvolver
noun | volcano | volcán
noun | weather forecast | predicción meteorológica, previsión meteorológica, pronóstico del tiempo
ph-v | wear off | disiparse, desaparecer gradualmente
noun | apology | disculpa
adve | apparently | aparentemente, por lo visto
noun | cashpoint | cajero, cajero automático
ph-v | catch up on (sth) | ponerse al día
noun | comedian | cómico, comediante
noun | comedy | comedia
noun | complaint | queja, reclamación
noun | disguise | disfraz
verb | disguise | disfrazar
noun | earnings | salario
verb | estimate | estimar
ph-v | get (sth) over with | quitarse de encima, sacarse de encima
ph-v | hang around (with sb) | pasar tiempo (con alguien)
noun | humour | humor
verb | ignore | ignorar, no prestar atención
expr | have a bad influence on | ser una mala influencia 
ph-v | key in (sth), key (sth) in | teclear
ph-v | keep up (sth), keep (sth) up | mantener
noun | landlord, landlady | arrendador, arrendadora
ph-v | look up (sth), look (sth) up (seek) | buscar (en algún sitio)
ph-v | look up to (sb) (respect) | admirar, respetar
ph-v | make for | ir hacia, dirigirse hacia
ph-v | make (sb/sth) out | distinguir, comprender
ph-v | make up for (sth) | compensar
ph-v | pick up (sth), pick (sth) up | aprender
ph-v | put off (sb), put (sb) off | disuadir
ph-v | put out (sth), put (sth) out | apagar (algo que arde - un fuego o un cigarrillo)
ph-v | put up a fight | combatir, dar pelea (expresar oposición)
ph-v | put up with (sb/sth) | tolerar, aguantar, soportar
noun | rule | regla, norma
verb | star | ser la estrella, protagonizar
ph-v | start out | empezar
ph-v | take time off | tomarse unos días, tomarse días libres, tomarse un tiempo libre, tomarse tiempo libre
noun | treatment | tratamiento
adje | weird | muy extraño
ph-v | work on (sth) | trabajar en
ph-v | work out (sth), work (sth) out | entender, resolver, solucionar
expr | deep in through | perdido en sus pensamientos
adve | inwardly | por dentro, interiormente
noun | coroner | forense,
noun | luminary | celebridad
ph-v | burst out | saltar, aparecer
noun | hedge | asegurar, cubrir
noun | moors | páramo, brezal
noun | butler | mayordomo
noun | inquest | investigación
verb | sight | avistar, ver
noun | heir | heredero
noun | glimpse | vistazo
noun | foolishness | estupidez
noun | tale | historia, relato
adje | mad, madman, madwoman | loco, histérico
verb | flee | huir
noun | beard | barba
noun | chap | tipo, tío
noun | maid | criada
noun | stableboy | mozo de cuadra
ph-v | throw out | rechazar
adje | gloomy | gris, encapotado, triste, sombrío, melancólico
verb | blow | soplar
noun | coat | abrigo
adje | overwhelming | arrollador, aplastante, enorme 
adje | well-built | formido, corpulento
noun | staircase | escalera
adje | sombre | sombrío, serio, apagado, oscuro
adje | lit | iluminado, alumbrado
verb | bleak | lúgubre, desolador, desalentador
P | toss and turn | dar vueltas en la cama
adje | awful | terrible, horrible, espantoso
adje | dull | aburrido, soso
verb | chase | perseguir
verb | beg | rogar, suplicar
verb | digress | divagar
noun | bog | pantano, lodazal
verb | moan | gemmir, quejarse
verb | howl | aullar, gritar
noun | heaven | cielo
verb | asleep | dormido
adje | downstairs | em la planta baja
P | red-handed | con las manos en la masa
adve | severely | seriamente, gravemente, severamente
adve | sternly | severamente, rigurosamente, duramente
verb | starve | pasar hambre, morir de hambre
adje | fool | tonto
verb | peer | mirar detenidamente 
noun | silhouette | silueta
verb | ease | aliviar
verb | implore | rogar, suplicar
adje | dreadful | terrible, espantoso
noun | burden | carga, responsabilidad
verb | swear | jurar, prometer
adve | bitterly | amargamente, con rencor
adje | worthwhile | que merece la pena, que vale la pena
noun | bluff | engaño, farol
adje | rough | rugoso, áspero
noun | beast | bestia
adje | stony | pedregoso
noun | thump | golpe, paliza, porrazo 
noun | fist | puño
noun | flight (escape) | huida, escapada
adje | bent | torcido, curvado, doblado
adje | stunned | aturdido, inconsciente
adje | muzzled | amordazado
adje | chained | encadenado
noun | supper | cena
adje | infamous | infame, tristemente famoso
adje | faint | borroso, leve
verb | desert | abandonar
noun | warrant | orden judicial
verb | stare | mirar fijamente
adje | wicked | malvado
noun | ambush | emboscada
verb | crouch | agacharse
noun | curtains | cortinas
ph-v | get up | levantarse
noun | fog | niebla
verb | glitter | relucir, brillar
verb | flee | huir
noun | bush | arbusto, mata
adje | elated | eufórico
noun | schemer | manipulador, conspirador
noun | decoy | cebo, trampa
adje | betrayed | traicionado
noun | offspring | hijos
verb | hesitate | dudar
expr | all year round | a lo largo del año
noun | alleyway | callejón
expr | anything goes | todo vale
noun | aspect | aspecto
noun | automatic pilot | piloto automático
adve | barely | apenas
adje | bizarre | extraño, estrambótico
ph-v | break down | averiarse, romperse
adje | bustling | a reventar, atascado (de gente)
expr | catch sight of | ver, avistar, notar
ph-v | check out | verificar, comprovar
adje | competent | competente
adje | courageous | valiente
adje | crude | grosero, vulgar
adje | decisive | decisivo
verb | decline | rechazar
noun | delight | placer
noun | disbelief | desconfianza
expr | dos and don'ts | normas, reglas
adje | down-to-earth | sensato, centrado, realista
ph-v | end up | acabar en, terminar en
expr | face a challenge | afrontar un reto
verb | gain | obtener, ganar, adquirir
expr | gain insight | ganar conocimiento, entendimiento
expr | get the wrong impression | tener la impresión equivocada
expr | get to know (sb or sth) | concocer (a alguien o algo estando tiempo con él o con aquello)
noun | getaway | escapada, vacaciones
ph-v | go through | pasar por (una situación)
verb | hesitate | dudar
verb | hold | agarrar
noun | iceberg | iceberg
adje | incredible | increíble
adje | irritable | irritable
expr | keep in touch | mantenerse en contacto
adje | knowledgeable | culto, conocedor
expr | make up your mind | decidirse
verb | mark (an anniversary) | cumplirse (un aniversario)
noun | maze | laberinto
adve | merely | simplemente
adje | narrow-minded | cerrado, de mente estrecha
adje | outgoing | extrovertido
verb | perceive | percatarse de que, percatarse, comprender que, comprender
adje | persuasive | persuasivo, convincente
ph-v | pop over | dar una vuelta
noun | proof | prueba
verb | purr | ronronear
noun | queue | cola (de personas)
adje | rancid | rancio
expr | read between the lines | leer entre líneas
verb | regard | considerar
noun | roost | nido
adje | rotten | podrido
adje | sarcastic | sarcástico
verb | scrub | fregar
adje | self-deprecating | autocrítico
noun | sense of humour | sentido del humor
ph-v | set up | instalar, montar
verb | skim | sobrevolar, rozar
expr | social glue | pegamento social
noun | social-networking | redes sociales
adve | solely | solamente, únicamente
verb | strengthen | fortalecer, endurecer
expr | tip of the iceberg | punta del iceberg
expr | to my mind | en mi opinión
ph-v | try out | probar, hacer una prueba
noun | warmth | calor, amabilidad
noun | way | forma, estilo
expr | way of life | estilo de vida
verb | acknowledge | confirmar un recibo
verb | adapt | adaptarse
noun | adulthood | edad adulta
noun | ambition | ambición
verb | antagonise | contrariar a
verb | apologise | disculparse
verb | assign | asignar
verb | assume | asumir
verb | attach | adjuntar, poner algo en
ph-v | believe in | creer en
verb | confirm | confirmar
noun | delay | retraso
ph-v | draw on | usar, utilizar, hacer uso de (conocimiento / información)
verb | forward | reenviar, remitir
ph-v | get on (with sth) | llevarse bien con
ph-v | get out (of sth) | escaparse, librarse (de algo)
adje | grateful | agradecido
expr | have sth in common | tener algo en común
adje | isolated | aislado, apartado
ph-v | keep up | mantenerse, seguir el ritmo, mantener
ph-v | live up to | igualar, estar a la altura
ph-v | look forward to | estar ansioso, estar deseando algo
ph-v | look up to | admirar, respetar
ph-v | opt for | optar for
adje | overpriced | carísimo
expr | pros and cons | pros y contras
verb | provide | proveer, aportar
verb | recover | recuperarse
noun | reference | referencia
verb | sit (for an exam) | hacer (un examen)
verb | specialise | especializarse
adje | tactful | discreto, con tacto
expr | take part | participar, formar parte
ph-v | take over | hacerse cargo
noun | thriller | película, libro de suspense
adje | tricky | complicado, difícil, delicado
adje | adaptable | flexible, adaptable
verb | address | dirigirse a, abordar (algo)
noun | advisee | persona que recibe un consejo
noun | advisor | consejero
ph-v | ask out | invitar a salir
noun | associate | socio, auxiliar, asociado
adje | awkward | difícil, incomodo, complicado, torpe
expr | the best of both worlds | lo mejor de cada casa
noun | bully | abusón
noun | cast | reparto (de actores)
noun | concept | concepto
adje | corporate | corporativo, empresarial
adje | destined | destinado a algo
noun | disturbance | interrupción, perturbación, alboroto
expr | downward spiral | situación que va empeorando
adje | edgy | nervioso, inquieto
verb | embrace | aceptar, acoger
noun | epoch | época, era
noun | expertise | experiencia, habilidad, dominio, pericia
noun | flourishing | floreciente, próspero, exitoso
noun | folk | gente
noun | fuss | escándalo
ph-v | hang out with | pasar tiempo con
expr | hog the limelight | llevarse todo el protagonismo
expr | in the public eye | conocido por todos
expr | in the running | con oportunidades de ganar
noun | in-joke | broma privada
noun | intrusion | intrusión, violación (de intimidad)
expr | it's high time | ya va siendo hora de que
noun | jargon | jerga, argot
adje | light-hearted | alegre
adje | moving | emotivo
verb | narrow | estrecharse
noun | notion | idea, noción
expr | on the spot | en el lugar mismo
expr | over the hill | estar para el arrastre (que una persona ya no sirve)
